pin_type,net,fanout,driver
CE,"u_impl/<const1>",NA,"u_impl/VCC/P"
CE,"u_impl/gen_fir_outreg.u_fir_i/<const1>",NA,"u_impl/gen_fir_outreg.u_fir_i/VCC/P"
CE,"u_impl/gen_fir_outreg.u_fir_i/E[0]",NA,"u_impl/gen_fir_outreg.u_fir_i/valid_p1_reg/Q"
CE,"u_impl/gen_fir_outreg.u_fir_i/valid_p1_reg_0[0]",NA,"NA"
CE,"u_impl/gen_fir_outreg.u_fir_i/valid_p2_reg_0[0]",NA,"u_impl/gen_fir_outreg.u_fir_i/valid_p2_reg/Q"
CE,"u_impl/gen_fir_outreg.u_fir_i/valid_p3_reg_0[0]",NA,"u_impl/gen_fir_outreg.u_fir_i/valid_p3_reg/Q"
CE,"u_impl/gen_fir_outreg.u_fir_i/valid_p4_reg_0[0]",NA,"u_impl/gen_fir_outreg.u_fir_i/valid_p4_reg/Q"
CE,"u_impl/gen_fir_outreg.u_fir_q/E[0]",NA,"NA"
CE,"u_impl/gen_fir_outreg.u_fir_q/delay_line_reg[1][31]_0[0]",NA,"NA"
CE,"u_impl/gen_fir_outreg.u_fir_q/final_sum_reg_reg[0]_0[0]",NA,"NA"
CE,"u_impl/gen_fir_outreg.u_fir_q/sample_out_reg[0]_0[0]",NA,"NA"
CE,"u_impl/gen_fir_outreg.u_fir_q/sum0123_reg[0]_0[0]",NA,"NA"
CE,"u_impl/gen_regular_tracker.u_tracker/best_energy[127]_i_1_n_0",NA,"u_impl/gen_regular_tracker.u_tracker/best_energy[127]_i_1/O"
CE,"u_impl/gen_regular_tracker.u_tracker/done_i_1_n_0",NA,"u_impl/gen_regular_tracker.u_tracker/done_i_1/O"
CE,"u_impl/sample_valid_IBUF",NA,"NA"
CE,"u_impl/u_accumulator/<const1>",NA,"u_impl/u_accumulator/VCC/P"
CE,"u_impl/u_accumulator/E[0]",NA,"NA"
CE,"u_impl/u_accumulator/valid_out",NA,"NA"
CE,"u_impl/u_mag/<const1>",NA,"u_impl/u_mag/VCC/P"
CE,"u_impl/u_mag/valid_p1",NA,"u_impl/u_mag/valid_p1_reg/Q"
CE,"u_impl/u_mag/valid_p2",NA,"u_impl/u_mag/valid_p2_reg/Q"
CE,"u_impl/u_nco/sample_valid_IBUF",NA,"NA"
R,"u_impl/<const0>",NA,"u_impl/GND/G"
R,"u_impl/gen_fir_outreg.u_fir_i/rst_IBUF",NA,"NA"
R,"u_impl/gen_fir_outreg.u_fir_q/rst_IBUF",NA,"NA"
R,"u_impl/gen_regular_tracker.u_tracker/rst_IBUF",NA,"NA"
R,"u_impl/rst_IBUF",NA,"NA"
R,"u_impl/sample_count[5]_i_1_n_0",NA,"u_impl/sample_count[5]_i_1/O"
R,"u_impl/u_accumulator/rst_IBUF",NA,"NA"
R,"u_impl/u_accumulator/running_energy_reg[127]_0",NA,"NA"
R,"u_impl/u_mag/rst_IBUF",NA,"NA"
R,"u_impl/u_nco/rst_IBUF",NA,"NA"
